"term","country","topic"
"647","Apple","Colombia","Business & Finance"
"648","Bancolombia","Colombia","Business & Finance"
"649","La Casa del dragon","Chile","Entertainment"
"650","Bridgerton","Colombia","Entertainment"
"651","Caracol TV","Colombia","Entertainment"
"652","Caracol tv","Colombia","Entertainment"
"653","Thelma Fardin","Chile","Entertainment"
"654","Streptococcus pyogenes","Chile","Health & Medicine"
"655","PAES","Chile","Education"
"656","Lluvia","Chile","Environment"
"657","Socavon Reñaca","Chile","Environment"
"658","Kate Middleton","Chile","Lifestyle"
"659","Alemania  Ucrania","Colombia","Travel & Tourism"
"660","Dia del abogado","Colombia","Culture & Society"
"661","Día del Padre","Colombia","Culture & Society"
"662","Feliz dia del Padre","Colombia","Culture & Society"
"663","Feliz dia del padre","Colombia","Culture & Society"
"664","Deportivo Riestra  River Plate","Colombia","Sports"
"665","Ecuador - Honduras","Colombia","Sports"
"666","Ecuador - Jamaica","Colombia","Sports"
"667","Ecuador Vs. Venezuela","Colombia","Sports"
"668","Escocia vs Suiza","Colombia","Sports"
"669","Escocia vs hungria","Colombia","Sports"
"670","España - Andorra","Colombia","Sports"
"671","España vs Croacia","Colombia","Sports"
"672","Estados Unidos  Bolivia","Colombia","Sports"
"673","Estados Unidos  Colombia","Colombia","Sports"
"674","Final futbol colombiano","Colombia","Sports"
"675","Francia  Luxemburgo","Colombia","Sports"
"676","Francia  Polonia","Colombia","Sports"
"677","Francia vs","Colombia","Sports"
"678","Georgia  Portugal","Colombia","Sports"
"679","Inglaterra  Islandia","Colombia","Sports"
"680","Inglaterra vs","Colombia","Sports"
"681","Inter Miami - Columbus Crew","Colombia","Sports"
"682","Italia vs","Colombia","Sports"
"683","Junior","Colombia","Sports"
"684","Kylian Mbappé","Colombia","Sports"
"685","Mexico vs Jamaica","Colombia","Sports"
"686","Míxico  Brasil","Colombia","Sports"
"687","Míxico  Uruguay","Colombia","Sports"
"688","NBA","Colombia","Sports"
"689","Novak Djokovic","Colombia","Sports"
"690","Orsomarso","Colombia","Sports"
"691","Panamá  Estados Unidos","Colombia","Sports"
"692","Países Bajos  Austria","Colombia","Sports"
"693","Países Bajos  Canadá","Colombia","Sports"
"694","Peru vs Chile","Colombia","Sports"
"695","Peru vs Paraguay","Colombia","Sports"
"696","Peru vs canada","Colombia","Sports"
"697","Philadelphia  Inter Miami","Colombia","Sports"
"698","Polonia vs Austria","Colombia","Sports"
"699","Portugal","Colombia","Sports"
"700","Portugal - Croacia","Colombia","Sports"
"701","Portugal - Finlandia","Colombia","Sports"
"702","Portugal - Irlanda","Colombia","Sports"
"703","Portugal vs","Colombia","Sports"
"704","Real Cartagena","Colombia","Sports"
"705","Santa Fe vs Bucaramanga","Colombia","Sports"
"706","Santa Fe vs Bucaramanga EN VIVO","Colombia","Sports"
"707","Torneo BetPlay","Colombia","Sports"
"708","Turquia vs","Colombia","Sports"
"709","Ucrania  Bélgica","Colombia","Sports"
"710","Ucrania vs","Colombia","Sports"
"711","Union Magdalena","Colombia","Sports"
"712","Uruguay  Bolivia","Colombia","Sports"
"713","Uruguay vs","Colombia","Sports"
"714","Belgie - Rumunsko","Czech Republic","Sports"
"715","La Casa de los Famosos","Colombia","Entertainment"
"716","La casa de los famosos","Colombia","Entertainment"
"717","MasterChef 2024","Colombia","Entertainment"
"718","Miss Universe Colombia 2024","Colombia","Entertainment"
"719","Patito Feo","Colombia","Entertainment"
"720","Gmail","Colombia","Science & Technology"
"721","Apple","Czech Republic","Science & Technology"
"722","Devolución del IVA","Colombia","Business & Finance"
"723","Latam","Colombia","Business & Finance"
"724","Hunter Biden","Colombia","Politics"
"725","Victoria Vera","Colombia","Lifestyle"
"726","Anouk Aimée","Czech Republic","Lifestyle"
"727","Avril Lavigne","Czech Republic","Lifestyle"
"728","Bechtěrevova nemoc","Czech Republic","Health & Medicine"
"729","Dia del abogado","Colombia","Culture & Society"
"730","Día del Padre","Colombia","Culture & Society"
"731","Feliz dia del Padre","Colombia","Culture & Society"
"732","Feliz dia del padre","Colombia","Culture & Society"
"733","Metrocable","Colombia","Travel & Tourism"
"734","Pico y placa bogota","Colombia","Economy"
"735","Pico y placa hoy","Colombia","Economy"
"736","RUNT","Colombia","Economy"
"737","Bill Cobbs","Czech Republic","Culture & Society"
"738","Donald Sutherland","Czech Republic","Culture & Society"
"739","Franz Kafka","Czech Republic","Culture & Society"
"740","Julian Assange","Czech Republic","Culture & Society"
"741","Milada horakova","Czech Republic","Culture & Society"
"742","Cd","Czech Republic","Music"
"743","Crazy Town","Czech Republic","Music"
"744","Lucie Bílá","Czech Republic","Music"
"745","Metronome festival","Czech Republic","Music"
"746","Michal David","Czech Republic","Music"
"747","Nickelback","Czech Republic","Music"
"748","Prodigy","Czech Republic","Music"
"749","Cesko Portugalsko","Czech Republic","Sports"
"750","Clash of the Stars","Czech Republic","Sports"
"751","Clash of the Stars 8","Czech Republic","Sports"
"752","EURO 2024 Program","Czech Republic","Sports"
"753","Gruzie – Česko","Czech Republic","Sports"
"754","Jakub Vadlejch","Czech Republic","Sports"
"755","Karlos Vémola","Czech Republic","Sports"
"756","Karviná – Vyškov","Czech Republic","Sports"
"757","Le Mans 2024","Czech Republic","Sports"
"758","Lewandowski","Czech Republic","Sports"
"759","Luka modric","Czech Republic","Sports"
"760","NHL","Czech Republic","Sports"
"761","Oktagon","Czech Republic","Sports"
"762","Patrik Schick","Czech Republic","Sports"
"763","Pepe","Czech Republic","Sports"
"764","Shaqiri","Czech Republic","Sports"
"765","Slovensko - Ukrajina","Czech Republic","Sports"
"766","Slovensko Belgie","Czech Republic","Sports"
"767","Slovensko – Rumunsko","Czech Republic","Sports"
"768","Dagestan","Czech Republic","Politics"
"769","Hunter Biden","Czech Republic","Politics"
"770","Javier Milei","Czech Republic","Politics"
"771","Macron","Czech Republic","Politics"
"772","Putin","Czech Republic","Politics"
"773","Dengue","Czech Republic","Health & Medicine"
"774","ECR","Czech Republic","Economy"
"775","EPP","Czech Republic","Economy"
"776","Pamelo Tomodok","Czech Republic","Economy"
"777","Filip Blažek","Czech Republic","Entertainment"
"778","House of the Dragon","Czech Republic","Entertainment"
"779","Halka Třešňáková","Czech Republic","Entertainment"
"780","Rod draka","Czech Republic","Entertainment"
"781","Páni kluci","Czech Republic","Entertainment"
"782","Olympiáda dětí a mládeže","Czech Republic","Education"
"783","OpenAI","Czech Republic","Science & Technology"
"784","Seznam výpadek","Czech Republic","Science & Technology"
"785","Radar","Czech Republic","Science & Technology"
"786","Fio","Czech Republic","Business & Finance"
"787","Fio banka","Czech Republic","Business & Finance"
"788","Obchodní dům Máj","Czech Republic","Business & Finance"
"789","Gruzie – Česko","Czech Republic","Environment"
"790","Lipsko","Czech Republic","Travel & Tourism"
"791","Italie albanie","Czech Republic","Travel & Tourism"
"792","Rožnov pod Radhoštěm","Czech Republic","Travel & Tourism"
"793","Den otců","Czech Republic","Lifestyle"
"794","Jan Schmid","Czech Republic","Lifestyle"
"795","Kevin Campbell","Czech Republic","Lifestyle"
"796","Libava","Czech Republic","Lifestyle"
"797","Modelář","Czech Republic","Lifestyle"
"798","Ladislav Krejčí","Czech Republic","Lifestyle"
"799","Malawi","Czech Republic","Lifestyle"
"800","Mark Kristián Hochman","Czech Republic","Lifestyle"
"801","Martin Hruška","Czech Republic","Lifestyle"
"802","Jevicko","Czech Republic","Lifestyle"
"803","Sport","Czech Republic","Sports"
"804","Srazka vlaku Pardubice","Czech Republic","Sports"
"805","Survivor","Czech Republic","Sports"
"806","Survivor finale","Czech Republic","Sports"
"807","Tadeas Vesely","Czech Republic","Sports"
"808","UFC 302","Czech Republic","Sports"
"809","UFC 303","Czech Republic","Sports"
"810","Vemola","Czech Republic","Sports"
"811","Vemola vs vegh","Czech Republic","Sports"
"812","Vemola vs vegh 2","Czech Republic","Sports"
"813","Zlata hokejka 2024","Czech Republic","Sports"
"814","ČT sport","Czech Republic","Sports"
"815","Česko – Malta","Czech Republic","Sports"
"816","Česko – Severní Makedonie","Czech Republic","Sports"
"817","Česko – Turecko","Czech Republic","Sports"
"818","Španělsko – Chorvatsko","Czech Republic","Sports"
"819","Švýcarsko – Německo","Czech Republic","Sports"
"820","Alcaraz","Denmark","Sports"
"821","Christian Eriksen","Denmark","Sports"
"822","Copa America","Denmark","Sports"
"823","Croatia vs Albania","Denmark","Sports"
"824","Danmark England","Denmark","Sports"
"825","Denmark vs Serbia","Denmark","Sports"
"826","Djokovic","Denmark","Sports"
"827","England serbien","Denmark","Sports"
"828","England slovenien","Denmark","Sports"
"829","Euro 2024","Denmark","Sports"
"830","F1","Denmark","Sports"
"831","F1 canada","Denmark","Sports"
"832","Griezmann","Denmark","Sports"
"833","Volby do Evropského parlamentu","Czech Republic","Politics"
"834","Volební účast eurovolby","Czech Republic","Politics"
"835","Výsledky voleb evropská unie","Czech Republic","Politics"
"836","Zuzana Čaputová","Czech Republic","Politics"
"837","Bharatiya Janata Party","Denmark","Politics"
"838","European Union election results","Denmark","Politics"
"839","Eu elections","Denmark","Politics"
"840","Sting","Czech Republic","Entertainment"
"841","Tamayo Perry","Czech Republic","Entertainment"
"842","Viggo Mortensen","Czech Republic","Entertainment"
"843","Vondráčková","Czech Republic","Entertainment"
"844","Voyo","Czech Republic","Entertainment"
"845","Victoria zpěvačka","Czech Republic","Entertainment"
"846","Bad Boys","Denmark","Entertainment"
"847","Billie Eilish","Denmark","Entertainment"
"848","Blackbird film","Denmark","Entertainment"
"849","Bridgerton","Denmark","Entertainment"
"850","C.Gambino","Denmark","Entertainment"
"851","CNN","Denmark","Entertainment"
"852","Dolly Parton","Denmark","Entertainment"
"853","Donald Sutherland","Denmark","Entertainment"
"854","Em","Denmark","Entertainment"
"855","FM radio","Denmark","Entertainment"
"856","Foolio","Denmark","Entertainment"
"857","Apple","Denmark","Science & Technology"
"858","ChatGPT","Denmark","Science & Technology"
"859","Generator","Denmark","Science & Technology"
"860","Bet365","Denmark","Business & Finance"
"861","Fisker","Denmark","Business & Finance"
"862","Fields","Denmark","Environment"
"863","Fiona Harvey","Denmark","Environment"
"864","Harry Kane","Denmark","Sports"
"865","Holger Rune","Denmark","Sports"
"866","Iga Swiatek","Denmark","Sports"
"867","Joachim Andersen","Denmark","Sports"
"868","Jude Bellingham","Denmark","Sports"
"869","Kante","Denmark","Sports"
"870","Kevin Campbell","Denmark","Sports"
"871","Lamine Yamal","Denmark","Sports"
"872","Le Mans","Denmark","Sports"
"873","Le Mans 2024","Denmark","Sports"
"874","Lewandowski","Denmark","Sports"
"875","Lukaku","Denmark","Sports"
"876","Mbappe","Denmark","Sports"
"877","Mirra Andreeva","Denmark","Sports"
"878","Modric","Denmark","Sports"
"879","Musiala","Denmark","Sports"
"880","NBA Draft 2024","Denmark","Sports"
"881","Nets","Denmark","Sports"
"882","Nico Williams","Denmark","Sports"
"883","Ons Jabeur","Denmark","Sports"
"884","Pepe","Denmark","Sports"
"885","Phil Foden","Denmark","Sports"
"886","Real Madrid","Denmark","Sports"
"887","Ronaldo","Denmark","Sports"
"888","SF","Denmark","Sports"
"889","Shaqiri","Denmark","Sports"
"890","Stuttgart","Denmark","Sports"
"891","Thomas Brodie-Sangster","Denmark","Sports"
"892","UEFA Euro","Denmark","Sports"
"893","UFC","Denmark","Sports"
"894","USS Wasp","Denmark","Sports"
"895","Xavi Simons","Denmark","Sports"
"896","Zverev","Denmark","Sports"
"897","المسلمي","Egypt","Sports"
"898","الأرجنتينضد كندا","Egypt","Sports"
"899","الأهلي ضد الداخلية","Egypt","Sports"
"900","الاتحاد السكندري","Egypt","Sports"
"901","الاتحاد السكندري ضد الأهلي","Egypt","Sports"
"902","الاسماعيلي","Egypt","Sports"
"903","الأهلي","Egypt","Sports"
"904","الأهلي والاتحاد","Egypt","Sports"
"905","الأهلي والزمالك","Egypt","Sports"
"906","البرازيل","Egypt","Sports"
"907","House of the Dragon","Denmark","Entertainment"
"908","Justin Timberlake","Denmark","Entertainment"
"909","Mission: Impossible","Denmark","Entertainment"
"910","Sabrina Carpenter","Denmark","Entertainment"
"911","Simon Cowell","Denmark","Entertainment"
"912","Take that","Denmark","Entertainment"
"913","The Acolyte","Denmark","Entertainment"
"914","The Boys","Denmark","Entertainment"
"915","The rebound","Denmark","Entertainment"
"916","Viggo Mortensen","Denmark","Entertainment"
"917","Troye Sivan","Denmark","Entertainment"
"918","Hunter Biden","Denmark","Politics"
"919","Julian Assange","Denmark","Politics"
"920","Mark Rutte","Denmark","Politics"
"921","Meloni","Denmark","Politics"
"922","Mette Frederiksen","Denmark","Politics"
"923","إسماعيل هنية","Egypt","Politics"
"924","استقالة الحكومة المصرية","Egypt","Politics"
"925","ID","Denmark","Science & Technology"
"926","Nvidia","Denmark","Science & Technology"
"927","Nvidia stock","Denmark","Science & Technology"
"928","OpenAI","Denmark","Science & Technology"
"929","Ratio","Denmark","Science & Technology"
"930","Rivian","Denmark","Science & Technology"
"931","Michael Mosley","Denmark","Health & Medicine"
"932","Northside","Denmark","Culture & Society"
"933","أدعية يوم عرفة","Egypt","Culture & Society"
"934","Paul Spencer","Denmark","Business & Finance"
"935","Ticketmaster","Denmark","Business & Finance"
"936","Sankthans","Denmark","Lifestyle"
"937","كوريا الشمالية","Egypt","Political"
"938","الزمالك","Egypt","Sports"
"939","القنوات الناقله لمباراه مصر وغينيا بيساو","Egypt","Sports"
"940","تريزيجيه","Egypt","Sports"
"941","ترتيب الدوري المصري","Egypt","Sports"
"942","مباراة مصر","Egypt","Sports"
"943","مباراة الاهلي","Egypt","Sports"
"944","غينيا بيساو ضد مصر","Egypt","Sports"
"945","منتخب مصر","Egypt","Sports"
"946","منتخب مصر الاولمبي","Egypt","Sports"
"947","منتخب الجزائر","Egypt","Sports"
"948","منتخب السودان","Egypt","Sports"
"949","منتخب اسبانيا","Egypt","Sports"
"950","منتخب المانيا","Egypt","Sports"
"951","منتخب انجترا","Egypt","Sports"
"952","منتخب ايطاليا","Egypt","Sports"
"953","منتخب بلجيكا","Egypt","Sports"
"954","منتخب فرنسا","Egypt","Sports"
"955","تركيا ضد جورجيا","Egypt","Sports"
"956","مبابي","Egypt","Sports"
"957","كيليان مبابي","Egypt","Sports"
"958","كرواتيا منتخب","Egypt","Sports"
"959","Alcaraz","Finland","Sports"
"960","البنك الاهلي","Egypt","Economy"
"961","سعر الدولار اليوم مقابل الجنيه المصرى","Egypt","Economy"
"962","سعر الدولار في السوق السوداء اليوم","Egypt","Economy"
"963","سعر الدولار مقابل الجنيه المصري","Egypt","Economy"
"964","Berkshire Hathaway stock","Finland","Economy"
"965","الفنانة سلوى عثمان","Egypt","Culture & Society"
"966","الفنانه مها عطيه","Egypt","Culture & Society"
"967","القس دوماديوس حبيب","Egypt","Culture & Society"
"968","دانية الشافعي","Egypt","Culture & Society"
"969","رضوى الشربيني","Egypt","Culture & Society"
"970","سمية الخشاب","Egypt","Culture & Society"
"971","امير طعيمة","Egypt","Culture & Society"
"972","انغام","Egypt","Culture & Society"
"973","جميلة عوض","Egypt","Culture & Society"
"974","عمرو يوسف","Egypt","Culture & Society"
"975","هاجر احمد","Egypt","Culture & Society"
"976","لقاء سويدان","Egypt","Culture & Society"
"977","هلال شهر ذي الحجة","Egypt","Culture & Society"
